Entreprise|||Lien|||Contact|||Localisation|||Ville|||Collège|||Activités
SOUFFLEURS D'ECUME|||not provided|||contact@souffleursdecume.com|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes
STARTUPSERVICES|||http://startupservices.fr|||joel.ringot@startupservices.fr|||Provence-Alpes-Côte d'Azur|||Six-Fours-les-Plages|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
STAT MARINE SAS|||http://www.stat-marine.com/|||f.giraud@stat-marine.com|||not provided|||Nîmes|||Groupe|||Ressources énergétiques et minières marines
STR Europe|||not provided|||biancardi@mettle.org|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Naval et nautisme
STX France Etablissement de Toulon|||https://chantiers-atlantique.com/fr/|||not provided|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines
SUBCMARINE|||http://www.subcmarine.com|||contact@subcmarine.com|||Auvergne-Rhône-Alpes|||Saint-Nazaire|||PME|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SUBMARINE OPEN TECHNOLOGIES|||http://www.submarine-open-technologies.com|||chanzy.moira@submarine-open-technologies.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Lattes|||PME|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SUBSEA TECH|||https://www.subsea-tech.com/|||yves.chardard@subsea-tech.com|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
SUD PLAISANCE|||http://www.sudplaisance.com|||contact@sudplaisance.com|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Naval et nautisme
SUPRAMECA|||http://www.suprameca.com/|||dominique.vinci@suprameca.com|||Provence-Alpes-Côte d'Azur|||Signes|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
SYBER SUBSEA|||https://www.sybersubsea.com/|||sybersubsea@gamail.com|||not provided|||Marseille|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Ports, logistique et transports maritimes
SYROCO|||https://syro.co/|||contact@syro.co|||not provided|||Marseille|||PME|||Naval et nautisme---Ports, logistique et transports maritimes
SYSAAF|||https://www.sysaaf.fr/|||sysaaf@inra.fr|||Centre-Val de Loire|||not provided|||Ecosystème|||Ressources biologiques marines
SYSTEMIQUE|||http://www.systemique.fr/|||m.cresp@systemique.fr|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||PME|||Défense, Sécurité et sûreté maritimes
TECHNIP ITC|||https://technip.com/|||athroo@technip.com|||Ile-de-France|||not provided|||Groupe|||Ressources énergétiques et minières marines
TECHNIVUE|||https://www.technivue.com/|||stgruffat@technivue.com|||Normandie|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
TECHVAR|||http://www.techvar.fr/|||philippe.casasnovas@techvar.fr|||Provence-Alpes-Côte d'Azur|||La Crau|||PME|||Défense, Sécurité et sûreté maritimes
TELERAD|||http://www.telerad.fr|||contact@telerad.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Anglet|||PME|||Naval et nautisme---Ressources biologiques marines---Ports, logistique et transports maritimes
TELESPAZIO|||https://telespazio.fr|||not provided|||not provided|||Toulouse|||Groupe|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
TERRACOOPA|||https://www.terracoopa.net|||contact@terracoopa.com|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||PME|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
THALASEIS|||http://thalaseis.com/|||michel.manin@thalaseis.com|||Ile-de-France|||not provided|||PME|||Ressources énergétiques et minières marines
THALES  SERVICES|||https://www.thalesgroup.com/|||contact.toulon@thalesgroup.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
THALES ALENIA SPACE|||not provided|||claire-anne.reix@thalesaleniaspace.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes
THALES DMS|||https://www.thalesgroup.com/|||not provided|||not provided|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
The Blue Ocean Sailor Company|||http://www.theblueoceansailorcompany.com/|||thebos@theblueoceansailorcompany.com|||Provence-Alpes-Côte d'Azur|||Valbonne---Sophia Antipolis|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
The Maritime Alliance|||http://www.themaritimealliance.org/|||mbjones@themaritimealliance.org|||Provence-Alpes-Côte d'Azur|||not provided|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
The Seasteading Institute|||https://www.seasteading.org/|||info@seasteading.org|||not provided|||not provided|||Ecosystème|||Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
TMI-ORION|||https://www.tmi-orion.com/fr/|||not provided|||not provided|||Castelnau-le-Lez|||PME|||Défense, Sécurité et sûreté maritimes
TOPLINK Innovation|||https://www.toplink-innovation.fr/|||alorenzi@toplink-innovation.fr|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
TOPP DECIDE|||http://topp-decide.com/|||olivier.pillard@topp-decide.com|||Ile-de-France|||Paris|||PME|||Environnement et valorisation du littoral
Total Développement Régional|||https://www.developpement-regional.total.fr/|||not provided|||Ile-de-France|||not provided|||Groupe|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
TRANSAS Méditerranée / Wärtsilä Voyage Méditerranean|||https://transas.com/|||Eric.Durand@transas.com|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
TRANSMETAL INDUSTRIES|||http://www.transmetal-industrie.com/|||contact@transmetal-industrie.com|||Provence-Alpes-Côte d'Azur|||Saint-Mandrier-sur-Mer|||PME|||Naval et nautisme
TUITO|||http://www.tuito.fr|||contact@tuito.fr|||Provence-Alpes-Côte d'Azur|||La Ciotat|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
UFO|||http://ufo-groupe.com/|||xpillet@wanadoo.fr|||Provence-Alpes-Côte d'Azur|||Signes|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines
UIMM Provence Alpes|||https://uimmalpesmediterranee.fr/|||serge.bornarel@uimmprovence.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Ecosystème|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
UMR TETIS|||https://www.umr-tetis.fr/|||Directeurtetis@teledetection.fr|||not provided|||Montpellier|||Centre de recherche et de formation|||Environnement et valorisation du littoral
UMS Pytheas (UMS 3470)|||https://www.osupytheas.fr/|||ivan.dekeyser@univ-amu.fr|||Provence-Alpes-Côte d'Azur|||Aix-en-Provence|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
Union des Villes Portuaires d'Occitanie|||not provided|||uvpo.contact@gmail.com|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||Ecosystème|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Université d'Aix Marseille|||https://www.univ-amu.fr/|||presidence@univ-amu.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Centre de recherche et de formation|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
Université de Montpellier (UM)|||http://www.umontpellier.fr/|||not provided|||not provided|||Montpellier|||Centre de recherche et de formation|||Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
Université de Toulon|||not provided|||michel.durampart@univ-tln.fr|||Provence-Alpes-Côte d'Azur|||Toulon|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
Université de Toulon  - IMATH|||http://imath.fr/|||imath@univ-tln.fr|||Provence-Alpes-Côte d'Azur|||Toulon|||Centre de recherche et de formation|||Ressources énergétiques et minières marines
Université de Toulon - LABORATOIRE CPT/ UMR 7332|||http://www.cpt.univ-mrs.fr/|||catherine.levet@cpt.univ-mrs.fr|||Provence-Alpes-Côte d'Azur|||Toulon|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes
Université de Toulon - LABORATOIRE I3M|||not provided|||aurelie.patoz@univ-tln.fr|||not provided|||Toulon|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
Université de Toulon - LABORATOIRE IM2NP/Institut des Matériaux, de Microélectronique et des Nanosciences de Provence UMR 7334|||https://www.im2np.fr/|||virginie.gandolfo@univ-tln.fr|||Provence-Alpes-Côte d'Azur|||Toulon|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
Université de Toulon - LABORATOIRE MAPIEM|||http://mapiem.univ-tln.fr/|||directeur.mapiem@univ-tln.fr|||Provence-Alpes-Côte d'Azur|||Toulon|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
Université de Toulon - LABORATOIRE MIO / UMR 7294|||https://www.mio.osupytheas.fr/|||fabienne.chan@univ-tln.fr|||Provence-Alpes-Côte d'Azur|||Toulon|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
UNS - ECOMERS|||http://ecoseas.unice.fr/|||patrice.francour@unice.fr|||Provence-Alpes-Côte d'Azur|||Nice|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines
UNS - LABORATOIRE I3S (Informatique, Signaux et Systèmes)|||http://i3s.unice.fr/|||direction@i3s.unice.fr|||Provence-Alpes-Côte d'Azur|||Nice|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes
UNS - LADIE|||http://univ-cotedazur.fr/labs/ladie/fr#.XcU-qVVKiUk|||joelle.maume@univ-cotedazur.fr|||not provided|||Nice|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
UNS - UNIVERSITE DE NICE SOPHIA ANTIPOLIS|||http://unice.fr/|||philippe.charvis@oca.eu|||Provence-Alpes-Côte d'Azur|||Nice|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
URMA/IPFM-INSTITUT DE PROMOTION ET DE FORMATION AUX METIERS DE LA MER|||https://www.urma-paca.fr/|||urma.laseyne@cmar-paca.fr|||not provided|||not provided|||Centre de recherche et de formation|||Naval et nautisme---Ports, logistique et transports maritimes
VALECO Ingénierie|||https://groupevaleco.com|||contact@groupevaleco.com|||not provided|||Montpellier|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
VALEOL|||http://valeol.fr/|||serge.gracia@valeol.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Bègles|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
VDSYS|||https://www.vdsys.fr/|||contact@vdsys.fr|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
VEOLIA|||https://www.veolia.com/|||Marie-Christine.HUAU@veolia.com|||Ile-de-France|||not provided|||Groupe|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
VIDAL DIFFUSION MARINE|||http://www.vidalmarine.com|||info@vidalmarine.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Naval et nautisme---Ports, logistique et transports maritimes
VIRTUAL DIVE|||not provided|||adinis@virtualdive.com|||Ile-de-France|||not provided|||PME|||Défense, Sécurité et sûreté maritimes
VISIT SEABED|||not provided|||naiad@visitseabed.com|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Naval et nautisme
VOXAYA|||https://voxaya.com/|||contact@voxaya.com|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
VSM|||https://www.vsm.fr/|||benoit@vsm.fr|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
WATTSON ELEMENTS|||https://www.wefalco.fr/|||contact@wefalco.fr|||not provided|||Paris|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
YNCREA|||https://yncrea.fr/|||vEronique.casiez@isen.fr|||not provided|||Lille|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes-|Ile-de-France|||not provided|||Groupe|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
VIDAL DIFFUSION MARINE|||http://www.vidalmarine.com|||info@vidalmarine.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Naval et nautisme---Ports, logistique et transports maritimes
VIRTUAL DIVE|||not provided|||adinis@virtualdive.com|||Ile-de-France|||not provided|||PME|||Défense, Sécurité et sûreté maritimes
VISIT SEABED|||not provided|||naiad@visitseabed.com|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Naval et nautisme
VOXAYA|||https://voxaya.com/|||contact@voxaya.com|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
VSM|||https://www.vsm.fr/|||benoit@vsm.fr|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
WATTSON ELEMENTS|||https://www.wefalco.fr/|||contact@wefalco.fr|||not provided|||Paris|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
YNCREA|||https://yncrea.fr/|||vEronique.casiez@isen.fr|||not provided|||Lille|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes
